,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
32,20,0,85.0,11049,0,0,0,0,2,0,0,0,0,0,1,8,5,2007,2007,0,0,0,0,1,0.0,0,0,0,2,0,3,2,0,0,0,1234,1234,0,0,0,0,1234,0,0,1234,0,0,2,0,3,1,0,7,0,0,0,0,2007.0,0,2,484,0,0,0,0,30,0,0,0,0,0,0,0,0,1,2008,0,0,179900
33,20,0,70.0,10552,0,0,1,0,0,0,11,0,0,0,1,5,5,1959,1959,1,0,3,7,1,0.0,1,0,1,1,0,0,3,1018,0,0,380,1398,0,1,0,0,1700,0,0,1700,0,1,1,1,4,1,0,6,0,1,2,0,1959.0,0,2,447,0,0,0,0,38,0,0,0,0,0,0,0,0,4,2010,0,0,165500
34,120,0,60.0,7313,0,0,0,0,0,0,9,0,0,3,1,9,5,2005,2005,1,0,1,1,0,246.0,2,0,0,2,0,0,0,1153,0,0,408,1561,0,0,0,0,1561,0,0,1561,1,0,2,0,2,1,2,6,0,1,2,0,2005.0,2,2,556,0,0,0,203,47,0,0,0,0,0,0,0,0,8,2007,0,0,277500
35,60,0,108.0,13418,0,0,0,0,0,0,9,0,0,0,0,8,5,2004,2005,0,0,0,0,2,132.0,0,0,0,2,0,3,2,0,0,0,1117,1117,0,0,0,0,1132,1320,0,2452,0,0,3,1,4,1,0,9,0,1,2,2,2004.0,2,3,691,0,0,0,113,32,0,0,0,0,0,0,0,0,9,2006,0,0,309000
36,20,0,112.0,10859,0,0,0,0,2,0,0,0,0,0,1,5,5,1994,1995,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,0,0,1097,1097,0,0,0,0,1097,0,0,1097,0,0,1,1,3,1,1,6,0,0,0,0,1995.0,1,2,672,0,0,0,392,64,0,0,0,0,0,0,0,0,6,2009,0,0,145000
37,20,0,74.0,8532,0,0,0,0,0,0,11,0,0,0,1,5,6,1954,1990,1,0,2,4,0,650.0,1,0,1,1,0,0,3,1213,0,0,84,1297,0,1,0,0,1297,0,0,1297,0,1,1,0,3,1,1,5,0,1,1,0,1954.0,2,2,498,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2009,0,0,153000
38,20,0,68.0,7922,0,0,0,0,0,0,11,0,0,0,1,5,7,1953,2007,0,0,0,0,1,0.0,1,2,1,1,0,0,0,731,0,0,326,1057,0,2,0,0,1057,0,0,1057,1,0,1,0,3,1,0,5,0,0,0,1,1953.0,1,1,246,0,0,0,0,52,0,0,0,0,0,0,0,0,1,2010,0,1,109000
40,20,0,84.0,8658,0,0,0,0,0,0,11,0,0,0,1,6,5,1965,1965,0,0,2,4,0,101.0,1,0,1,1,0,0,3,643,0,0,445,1088,0,0,0,0,1324,0,0,1324,0,0,2,0,3,1,1,6,0,1,1,0,1965.0,0,2,440,0,0,0,0,138,0,0,0,0,0,3,0,0,12,2006,0,1,160000
41,20,0,115.0,16905,0,0,0,0,0,0,14,0,0,0,1,5,6,1959,1959,0,0,0,0,1,0.0,1,2,1,1,0,1,6,967,0,0,383,1350,0,1,0,0,1328,0,0,1328,0,1,1,1,2,1,1,5,0,2,2,0,1959.0,0,1,308,0,0,2,0,104,0,0,0,0,0,0,0,0,7,2007,0,0,170000
44,20,0,70.0,7945,0,0,0,0,0,0,11,0,0,0,1,5,6,1959,1959,0,0,3,4,1,0.0,1,0,1,1,0,0,1,179,3,506,465,1150,0,0,0,2,1150,0,0,1150,1,0,1,0,3,1,1,6,0,0,0,0,1959.0,0,1,300,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2006,0,0,141000
45,120,0,61.0,7658,0,0,0,0,0,0,9,0,0,3,1,9,5,2005,2005,1,0,1,1,0,412.0,2,0,0,2,0,0,0,456,0,0,1296,1752,0,0,0,0,1752,0,0,1752,1,0,2,0,2,1,2,6,0,1,2,0,2005.0,0,2,576,0,0,0,196,82,0,0,0,0,0,0,0,0,2,2010,0,0,319900
46,50,0,48.0,12822,0,0,1,0,3,0,4,0,0,0,2,7,5,2003,2003,0,0,0,0,1,0.0,0,0,0,2,0,0,0,1351,0,0,83,1434,0,0,0,0,1518,631,0,2149,1,0,1,1,1,1,0,6,0,1,3,0,2003.0,0,2,670,0,0,0,168,43,0,0,198,0,0,0,0,0,8,2009,0,1,239686
47,20,3,84.0,11096,0,0,0,0,0,0,5,0,0,0,1,8,5,2006,2006,0,0,0,0,1,0.0,0,0,0,0,0,3,0,24,0,0,1632,1656,0,0,0,0,1656,0,0,1656,0,0,2,0,3,1,0,7,0,0,0,0,2006.0,0,3,826,0,0,0,0,146,0,0,0,0,0,0,0,0,7,2007,0,0,249700
49,20,0,66.0,7742,0,0,0,0,0,0,8,0,0,0,1,5,7,1966,1966,0,0,4,3,1,0.0,1,0,1,1,0,0,6,763,0,0,192,955,0,0,0,0,955,0,0,955,1,0,1,0,3,1,1,6,0,0,0,0,1966.0,1,1,386,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2007,0,0,127000
51,50,1,52.0,6240,0,0,0,0,0,0,7,0,0,0,2,6,6,1934,1950,0,0,2,4,1,0.0,1,0,0,1,0,0,2,0,0,0,816,816,0,2,0,0,816,0,360,1176,0,0,1,0,3,1,1,6,0,1,2,1,1985.0,1,2,528,0,0,0,112,0,0,0,0,0,0,1,1,400,9,2006,0,0,114500
52,90,1,110.0,8472,1,0,2,1,2,1,12,4,0,2,1,5,5,1963,1963,0,0,2,4,1,0.0,3,0,1,0,0,1,5,104,4,712,0,816,0,2,1,0,816,0,0,816,1,0,1,0,2,1,1,5,0,0,0,3,1963.0,1,2,516,0,0,0,106,0,0,0,0,0,0,0,0,0,5,2010,0,0,110000
53,20,0,68.0,50271,0,0,1,2,0,0,1,0,0,0,1,9,5,1981,1987,0,1,5,2,1,0.0,0,0,1,2,0,1,0,1810,0,0,32,1842,0,1,0,0,1842,0,0,1842,2,0,0,1,0,1,0,5,0,1,2,0,1981.0,2,3,894,0,0,0,857,72,0,0,0,0,0,0,0,0,11,2006,0,0,385000
54,80,0,60.0,7134,0,0,0,1,0,1,11,0,0,0,4,5,5,1955,1955,0,0,1,1,1,0.0,1,0,1,1,0,0,1,384,0,0,0,384,0,2,0,0,1360,0,0,1360,0,0,1,0,3,1,1,6,1,1,1,1,1962.0,1,2,572,0,0,0,0,50,0,0,0,0,0,1,0,0,2,2007,0,0,130000
55,20,0,100.0,10175,0,0,1,0,0,0,11,0,0,0,1,6,5,1964,1964,0,0,4,5,0,272.0,1,0,1,1,0,0,6,490,0,0,935,1425,0,1,0,0,1425,0,0,1425,0,0,2,0,3,1,1,7,0,1,2,0,1964.0,0,2,576,0,0,0,0,0,0,407,0,0,0,0,0,0,7,2008,0,0,180500
56,160,3,24.0,2645,0,2,0,0,0,0,5,0,0,4,0,8,5,1999,2000,0,0,1,1,0,456.0,0,0,0,0,0,0,0,649,0,0,321,970,0,0,0,0,983,756,0,1739,1,0,2,1,3,1,0,7,0,0,0,0,1999.0,2,2,480,0,0,0,115,0,0,0,0,0,0,0,0,0,8,2009,0,1,172500
57,60,0,89.0,11645,0,0,1,0,2,0,0,0,0,0,0,7,5,2004,2004,0,0,0,0,1,0.0,0,0,0,0,0,0,2,0,0,0,860,860,0,0,0,0,860,860,0,1720,0,0,2,1,3,1,0,7,0,0,0,0,2004.0,0,2,565,0,0,0,0,70,0,0,0,0,0,0,0,0,8,2006,0,0,196500
58,60,0,66.0,13682,0,0,2,3,3,0,15,0,0,0,0,10,5,2006,2006,1,0,0,0,0,1031.0,2,0,0,2,0,1,2,0,0,0,1410,1410,0,0,0,0,1426,1519,0,2945,0,0,3,1,3,1,0,10,0,1,2,2,2006.0,2,3,641,0,0,0,192,0,37,0,0,0,0,0,0,0,10,2006,1,2,438780
59,20,0,60.0,7200,0,0,0,1,0,0,0,0,0,0,1,5,7,1972,1972,0,0,4,3,1,0.0,1,0,1,1,0,3,1,632,0,0,148,780,0,0,0,0,780,0,0,780,0,0,1,0,2,1,1,4,0,0,0,1,1973.0,1,1,352,0,0,0,196,0,0,0,0,0,0,1,0,0,1,2008,0,0,124900
60,20,0,63.0,13072,0,0,0,0,0,0,10,3,0,0,1,6,5,2004,2004,0,0,0,0,1,0.0,1,0,0,0,0,0,1,941,0,0,217,1158,0,0,0,0,1158,0,0,1158,1,0,1,1,3,1,0,5,0,0,0,1,2006.0,1,2,576,0,0,0,0,50,0,0,0,0,0,0,0,0,5,2006,1,2,158000
61,75,1,60.0,7200,0,0,0,0,0,0,12,0,0,0,5,5,7,1920,1996,0,0,1,1,1,0.0,1,0,2,1,3,0,2,0,0,0,530,530,0,2,1,0,581,530,0,1111,0,0,1,0,3,1,3,6,0,0,0,1,1935.0,1,1,288,0,0,1,0,0,144,0,0,0,0,0,0,0,3,2007,0,0,101000
62,120,0,44.0,6442,0,0,1,0,0,0,9,0,0,3,1,8,5,2006,2006,0,0,0,0,2,178.0,0,0,0,0,1,2,0,24,0,0,1346,1370,0,0,0,0,1370,0,0,1370,0,0,2,0,2,1,0,6,0,1,2,0,2006.0,0,2,484,0,0,0,120,49,0,0,0,0,0,0,0,0,10,2007,0,0,202500
63,70,1,50.0,10300,0,0,1,1,0,0,6,5,3,0,0,7,6,1921,1950,0,0,7,8,1,0.0,1,0,2,1,0,0,2,0,0,0,576,576,0,1,0,0,902,808,0,1710,0,0,2,0,3,1,1,9,0,0,0,1,1990.0,1,2,480,0,0,0,12,11,64,0,0,0,0,2,0,0,4,2010,0,0,140000
65,60,0,76.0,9591,0,0,0,0,0,0,9,0,0,0,0,8,5,2004,2005,0,0,0,0,0,344.0,0,0,0,2,0,3,2,0,0,0,1143,1143,0,0,0,0,1143,1330,0,2473,0,0,2,1,4,1,0,9,0,1,2,2,2004.0,0,3,852,0,0,0,192,151,0,0,0,0,0,0,0,0,10,2007,0,0,317000
67,20,0,72.0,10665,0,0,1,0,0,0,0,0,0,0,1,7,5,2003,2003,0,0,0,0,0,167.0,0,0,0,0,0,3,0,1013,0,0,440,1453,0,0,0,0,1479,0,0,1479,1,0,2,0,3,1,0,7,0,0,0,0,2003.0,0,2,558,0,0,0,144,29,0,0,0,0,0,0,0,0,6,2007,0,0,226000
68,30,1,47.0,4608,0,0,0,0,2,0,6,2,0,0,1,4,6,1945,1950,0,0,1,1,1,0.0,1,2,1,1,0,0,2,0,0,0,747,747,0,2,0,0,747,0,0,747,0,0,1,0,2,1,1,4,0,0,0,0,1945.0,1,1,220,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2010,0,0,80000
69,50,0,81.0,15593,0,0,0,0,2,0,16,0,0,0,2,7,4,1953,1953,0,0,3,9,1,0.0,0,0,1,1,0,0,6,603,0,0,701,1304,1,2,0,0,1304,983,0,2287,0,0,2,0,3,1,1,7,0,1,1,0,1953.0,2,2,667,0,0,0,0,21,114,0,0,0,0,0,0,0,7,2006,0,0,225000
70,20,0,95.0,13651,0,0,1,0,0,0,11,0,0,0,1,7,6,1973,1973,0,0,8,5,0,1115.0,1,2,1,0,0,1,1,1880,0,0,343,2223,0,0,0,0,2223,0,0,2223,1,0,2,0,3,1,1,8,0,2,2,0,1973.0,2,2,516,0,0,0,300,0,0,0,0,0,0,0,0,0,2,2007,0,0,244000
71,20,0,69.0,7599,0,0,0,0,2,0,4,0,0,0,1,4,6,1982,2006,0,0,4,5,1,0.0,1,0,1,1,0,0,1,565,0,0,280,845,0,2,0,0,845,0,0,845,1,0,1,0,2,1,1,4,0,0,0,1,1987.0,1,2,360,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2007,0,0,129500
72,60,0,74.0,10141,0,0,1,0,2,0,17,0,0,0,0,7,5,1998,1998,0,0,0,0,0,40.0,1,0,0,0,0,0,2,0,0,0,832,832,0,1,0,0,885,833,0,1718,0,0,2,1,3,1,1,7,0,1,1,0,1998.0,2,2,427,0,0,0,0,94,0,0,291,0,0,0,0,0,12,2009,0,0,185000
73,20,0,85.0,10200,0,0,0,0,0,0,11,0,0,0,1,5,7,1954,2003,0,0,2,4,0,104.0,1,0,1,1,0,0,1,320,3,362,404,1086,0,1,0,0,1086,0,0,1086,1,0,1,0,3,1,1,6,0,0,0,0,1989.0,1,2,490,0,0,0,0,0,0,0,0,0,0,3,0,0,5,2010,0,0,144900
74,50,1,60.0,5790,0,0,0,0,2,0,6,0,0,0,0,3,6,1915,1950,2,0,0,0,1,0.0,0,2,1,4,0,0,2,0,0,0,840,840,0,1,1,0,840,765,0,1605,0,0,2,0,3,2,1,8,0,0,0,1,1915.0,1,1,379,0,0,0,0,0,202,0,0,0,0,0,0,0,5,2010,0,0,107400
75,180,1,21.0,1596,0,0,0,0,0,0,13,0,0,4,4,4,5,1973,1973,0,0,6,6,1,0.0,1,0,1,0,0,1,0,462,0,0,0,462,0,2,0,0,526,462,0,988,1,0,1,0,2,1,1,5,0,0,0,2,1973.0,1,1,297,0,0,0,120,101,0,0,0,0,0,3,0,0,11,2009,0,0,91000
77,50,1,50.0,8635,0,0,0,0,0,0,7,0,0,0,2,5,5,1948,2001,0,0,2,4,1,0.0,1,0,1,1,0,0,6,336,4,41,295,672,0,2,0,0,1072,213,0,1285,1,0,1,0,2,1,1,6,1,0,0,1,1948.0,1,1,240,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2008,0,0,127000
79,50,1,60.0,10440,0,1,0,0,2,0,6,0,0,0,0,5,6,1910,1981,0,0,2,4,1,0.0,1,0,0,1,0,0,2,0,0,0,440,440,0,1,0,0,682,548,0,1230,0,0,1,1,2,1,1,5,0,0,0,1,1966.0,1,2,440,0,0,0,74,0,128,0,0,0,0,1,0,0,5,2009,0,0,110000
80,60,0,100.0,13000,0,0,0,0,2,0,11,0,0,0,0,6,6,1968,1968,0,0,0,0,0,576.0,1,2,1,0,0,0,3,448,0,0,448,896,0,2,0,0,1182,960,0,2142,0,0,2,1,4,1,0,8,0,1,2,0,1968.0,2,1,509,0,0,0,0,72,0,0,252,0,0,0,0,0,6,2009,0,0,193500
81,120,1,32.0,4500,0,0,0,0,1,0,4,0,0,3,1,6,5,1998,1998,1,0,0,0,0,443.0,1,2,0,2,1,0,0,1201,0,0,36,1237,0,0,0,0,1337,0,0,1337,1,0,2,0,2,1,1,5,0,0,0,0,1998.0,2,2,405,0,0,0,0,199,0,0,0,0,0,0,0,0,3,2006,0,0,153500
82,20,0,78.0,10206,0,0,0,0,0,0,5,0,0,0,1,8,5,2007,2007,0,0,0,0,2,468.0,1,0,0,0,0,0,0,33,0,0,1530,1563,0,0,0,0,1563,0,0,1563,0,0,2,0,3,1,0,6,0,1,2,0,2007.0,0,3,758,0,0,0,144,99,0,0,0,0,0,0,0,0,10,2008,0,0,245000
83,20,0,80.0,8892,0,0,1,0,0,0,11,0,0,0,1,5,5,1960,1960,0,0,1,1,3,66.0,1,0,1,1,0,0,2,0,0,0,1065,1065,0,1,0,0,1065,0,0,1065,0,0,1,1,3,1,1,6,0,0,0,1,1974.0,1,2,461,0,0,0,74,0,0,0,0,0,0,0,0,0,7,2007,2,0,126500
85,60,0,121.0,16059,0,0,0,0,2,0,3,0,0,0,0,8,5,1991,1992,1,0,4,3,0,284.0,0,0,1,0,0,0,2,0,0,0,1288,1288,0,0,0,0,1301,1116,0,2417,0,0,2,1,4,1,0,9,0,1,1,0,1991.0,1,2,462,0,0,0,127,82,0,0,0,0,0,0,0,0,4,2006,0,0,260000
86,60,0,122.0,11911,0,0,2,0,0,0,17,0,0,0,0,6,5,2005,2005,0,0,0,0,1,0.0,0,0,0,0,0,3,2,0,0,0,684,684,0,0,0,0,684,876,0,1560,0,0,2,1,3,1,0,6,0,1,2,2,2005.0,2,2,400,0,0,0,100,38,0,0,0,0,0,0,0,0,3,2009,0,0,174000
87,160,3,40.0,3951,0,2,0,0,2,0,5,0,0,3,0,6,5,2009,2009,0,0,0,0,2,76.0,0,0,0,0,0,3,2,0,0,0,612,612,0,0,0,0,612,612,0,1224,0,0,2,1,2,1,0,4,0,0,0,1,2009.0,0,2,528,0,0,0,0,234,0,0,0,0,0,0,0,0,6,2009,1,2,164500
90,20,0,60.0,7200,0,0,0,0,0,0,11,0,0,0,1,4,5,1950,1950,0,0,3,4,1,0.0,1,0,4,3,2,4,4,0,1,0,0,0,0,2,0,2,1040,0,0,1040,0,0,1,0,2,1,1,4,0,0,0,1,1950.0,1,2,420,0,0,0,0,29,0,0,0,0,0,0,0,0,7,2006,0,0,109900
